Rock,Metal,Punk / Hardcore / Emo,Pop,Electronic / Dance,Hip-Hop / Rap,R&B / Soul / Funk,Jazz,Blues,Country / Americana / Bluegrass,Folk / Singer-Songwriter,World / Global,Latin,Reggae / Ska / Dub,Classical / Orchestral / Opera,Ambient / New Age,Experimental / Avant-garde / Noise,Gospel / Christian / Spiritual,Other
acid rock,alt metal,acoustic punk,acoustic pop,acid breaks,abstract hip hop,adult contemporary r&b,acid jazz,acoustic blues,alt country,acid folk,afoxê,bachata,dancehall,ancient greek music,ambient,acousmatic,bhajan,a cappella
acoustic rock,alternative metal,afro punk,adult contemporary,acid house,acid rap,afro soul,african jazz,african blues,alt-country,acoustic folk,african folk,banda sinaloense,dancehall reggae,andalusian classical music,ambient alternative,ambient noise wall,bluegrass gospel,ballad
adult alternative,ambient black metal,alternative emo,adult standards,acid techno,afrikaans rap,afro-funk,afro jazz,blues,alternative country,alt folk,afro pop,bolero,dub,arabic classical music,ambient americana,avant-garde,cantorial,ballroom
adult alternative pop/rock,ambient metal,alternative hardcore,alt-pop,acid trance,afro trap,alternative r&b,afro-cuban jazz,blues revival,americana,alt-folk,afro-beat,bossa nova,dub poetry,art song,ambient bass,blackened noise,christian metal,barbershop
adult alternative rock,atmospheric black metal,alternative punk,alternative pop,acidcore,afroswing,alternative rhythm & blues,afro-jazz,blues rock,bluegrass,alternative folk,afro-cuban,chicha,early reggae,ballet,ambient drone,death industrial,christian rock,bardcore
afro rock,atmospheric death metal,anarcho-punk,ambient pop,afro house,alt hip hop,alté,ambient jazz,blues-rock,bro-country,alternative folk rock,afro-fusion,choro,heavy dub,baroque,ambient dub,drone,christian ska,beat poetry
afro-rock,atmospheric doom metal,art punk,art pop,afro tech,alternative hip hop,blaxploitation,arabic jazz,boogie woogie,classic country,alternative singer-songwriter,afro-pop,corrido,mento,broadway,ambient electronic,electro-acoustic,country gospel,brass band
aislegaze,atmospheric folk metal,artcore,austropop,afro-house,alternative rap,blue-eyed soul,avant-garde jazz,british blues,contemporary country,anti-folk,afro-zouk,cumbia,progressive ska,byzantine chant,ambient electronica,electroacoustic,gospel,cabaret
alt rock,atmospheric post-black metal,beatdown hardcore,avant-garde pop,afrofuturism,bhangra rap,boogaloo,bebop,british rhythm & blues,country,appalachian folk,afrobeat,cumbia amazónica,ragga,carnatic classical,ambient experimental,experimental,gospel blues,christmas
alt-rock,atmospheric sludge metal,blackened crust punk,avant-pop,aggrotech,boom bap,boogie,big band,chicago blues,country boogie,avant-folk,afrobeats,cumbia colombiana,reggae,chamber music,ambient vaporwave,field recording,gospel house,dark cabaret
alternadelic,avant-garde black metal,blackened hardcore,baroque pop,algorave,boom bap rap,boogie-funk,big band and swing,contemporary blues,country hip hop,avtorskaya pesnya,afropop,cumbia mexicana,reggae dancehall,chant,andean new age,fourth world,gospel rap,doomwave
alternative,avant-garde death metal,blackened punk,bedroom pop,alt dance,bounce,brit funk,bop,country blues,country pop,british folk,apala,cumbia peruana,reggae pop,choral,black ambient,free improvisation,gospel reggae,dreamcore
alternative hard rock,avant-garde metal,blackened screamo,bubblegum,alternative dance,britcore,brown-eyed soul,cape jazz,delta blues,country rap,british folk rock,arabic folk music,cumbia rebajada,reggae rock,classical,celtic new age,harsh noise,naat,dreampunk
alternative indie,black metal,bubblegum punk,bubblegum pop,alternative electronic,british hip hop,chicago soul,celtic jazz,desert blues,country rock,chamber folk,arabic pop,cumbia villera,riddim,classical crossover,chillout,harsh noise wall,nasheed,filk
alternative indie rock,blackened death metal,celtic punk,c-pop,amapiano,chap hop,classic soul,chamber jazz,folk blues,country soul,chanson,axé,dembow,rock steady,classical guitar,comfy synth,hauntology,qawwali,lullaby
alternative pop rock,blackened deathcore,chaotic hardcore,cantopop,ambient breaks,chicago drill,contemporary r&b,chanson jazz,heavy blues rock,country swing,chanson française,baião,digital cumbia,rocksteady,contemporary classical,dark ambient,industrial drone,sacred harp,marching band
alternative rock,blackened doom metal,chicago hardcore,chamber pop,ambient drum and bass,chicano rap,dark r&b,classic jazz,jug band,country western,chanson québécoise,balinese gamelan,electrotango,ska,early music,dungeon synth,industrial noise,southern gospel,yodel
anatolian rock,blackened folk metal,crust,city pop,ambient house,comedy hip hop,deep funk,contemporary jazz,jump blues,countrypolitan,contemporary folk,balkan brass band,guajira,ska punk,gregorian chant,meditation,lowercase,urban contemporary gospel,
arena rock,blackened grindcore,crust punk,classic pop,ambient techno,comedy rap,deep soul,cool jazz,louisiana blues,dark country,contra dance,balkan folk music,guaracha,ska revival,hindustani classical,medieval ambient,martial industrial,,
art rock,blackened heavy metal,d-beat,contemporary pop,ambient trance,conscious hip hop,doo wop,dark jazz,piano blues,gothic country,country folk,balkan pop-folk,guarania,skacore,madrigal,neoclassical new age,musique concrète,,
atmospheric rock,blackened post-metal,disco-punk,dark pop,ambient trip hop,conscious rap,early r&b,dixieland,piedmont blues,hillbilly,dark folk,basque folk,lambada,third wave ska,medieval,new age,no wave,,
avant-prog,blackened sludge metal,dream punk,denpa,atmospheric drum and bass,crunk,electro-funk,dixieland jazz,texas blues,honky tonk,dungeon folk,batucada,latin,,medieval music,organic ambient,noise,,
baggy,blackened thrash metal,easycore,disco pop,atmospheric jungle,crunkcore,free funk,doom jazz,,neo-traditional country,electro folk,batuque,latin alternative,,minimalism,ritual ambient,noisecore,,
baggy / madchester,blackgaze,egg punk,easy listening,baile funk,cyberpunk hip hop,funk,early jazz,,new country,emo-folk,benga,latin dance,,neo-classical,space ambient,noisegrind,,
beach music,british metal,electropunk,electro pop,bailefunk,dark rap,indie r&b,ethio-jazz,,newgrass,experimental folk,bhangra,latin electronic,,neoclassical,tribal ambient,plunderphonics,,
beat music,brutal death metal,emo,electro-pop,balearic,dark trap,motown,ethno jazz,,old time,fingerstyle guitar,bomba,latin freestyle,,new complexity,,post-industrial,,
boogie rock,brutal deathcore,emo pop,electronic pop,balearic beat,dirty south,neo soul,experimental jazz,,old-time,folk,brega funk,latin funk,,opera,,power electronics,,
british invasion,brutal deathgrind,emocore,electropop,balearic trance,dirty south rap,neo-soul,flamenco jazz,,outlaw country,folk fusion,bulgarian folk,latin pop,,operetta,,power noise,,
british trad rock,brutal technical death metal,emoviolence,euro pop,ballroom house,disco rap,new jack swing,folk jazz,,progressive bluegrass,folk horror,cajun,latin rock,,orchestral,,zeuhl,,
britpop,celtic folk metal,experimental punk,europop,baltimore club,drift phonk,northern soul,free jazz,,progressive country,folk rock,cajun / zydeco,latin soul,,polyphonic chant,,,,
c86,celtic metal,fastcore,experimental pop,bass house,drill,p-funk,fusion,,texas country,folk-hop,cajun folk,latin urban,,post-classical,,,,
celtic rock,classic heavy metal,folk punk,flamenco pop,bassline,east coast hip hop,pop soul,future jazz,,traditional country,folk-rock,calypso,mambo,,post-minimalism,,,,
chamber psych,cyber metal,folk-punk,folk pop,bastard pop,east coast rap,progressive r&b,gothic jazz,,western swing,freak folk,capoeira,mariachi,,renaissance music,,,,
classic hard rock,cybergrind,glam punk,folk-pop,berlin school,electro hop,psychedelic funk,gypsy jazz,,,free folk,celtic,merengue,,waltz,,,,
classic rock,dark metal,gypsy punk,french pop,big beat,electro rap,psychedelic soul,hard bop,,,indie folk,champeta,narcocorrido,,zarzuela,,,,
cold wave,death doom metal,hardcore,future pop,big room,emo rap,quiet storm,jazz,,,irish folk,chimurenga,norteño,,,,,,
coldwave,death metal,hardcore dance,hokkien pop,big room house,experimental hip hop,r&b,jazz blues,,,irish folk rock,dabke,nuevo tango,,,,,,
